Q3239497	Q1715627
Q3104866	Q5121575
Q3257692	Q2633492
Q2471252	Q4159757
Q4365964	Q1600361
Q1404812	Q5831831
Q2135690	Q1393185
Q727676	Q4187923
Q1094820	Q273138
Q951997	Q69975
Q5390795	Q2132759
Q4768136	Q1133360
Q6114375	Q5078078
Q6114053	Q2542794
Q5558723	Q2653735
Q6137675	Q606315
Q1813259	Q210276
Q2463608	Q1764707
Q3216634	Q4610746
Q2732848	Q2819817
Q6303630	Q2216197
Q1278291	Q5628550
Q3140322	Q116762
Q5405420	Q3511524
Q4523429	Q2044750
Q3221339	Q5948766
Q2942301	Q2009735
Q2154541	Q4053758
Q970872	Q3042643
Q158256	Q2229363
Q2677717	Q4172696
Q2325411	Q2959625
Q307810	Q4367661
Q4316122	Q1207834
Q6285959	Q5405549
Q6373748	Q2736598
Q3902647	Q5875750
Q2360118	Q998193
Q267579	Q1527037
Q4189248	Q633953
Q2926384	Q5534692
Q1728381	Q4503110
Q5460138	Q1042930
Q4264820	Q730064
Q1070259	Q824346
Q4416785	Q4139317
Q3352510	Q1964655
Q5726937	Q5441822
Q4080805	Q1575770
Q3947887	Q662019
Q1516310	Q5403056
Q5327732	Q2010448
Q4881093	Q3791351
Q3580376	Q117278
Q2388589	Q2877196
Q1012448	Q1750056
Q5524885	Q394742
Q6374054	Q1903354
Q3693405	Q1355877
Q2904434	Q2363972
Q3233311	Q4742213
Q493811	Q769732
Q5788762	Q2399021
Q2605293	Q5755859
Q5217071	Q2978041
Q2279834	Q405616
Q1408069	Q4108829
Q1327229	Q442033
Q826299	Q4515850
Q1670981	Q2317125
Q259567	Q2307870
Q6192967	Q231793
Q3668548	Q2781356
Q4460840	Q3550931
Q4652896	Q3321538
Q688759	Q5466958
Q6208469	Q5537328
Q3756494	Q4325280
Q2444332	Q1365213
Q3507745	Q419355
Q3080674	Q5463100
Q3139832	Q421336
Q497999	Q4185206
Q1640820	Q1379003
Q3670118	Q135905
Q3920001	Q614819
Q2270666	Q2931949
Q5196592	Q1454474
Q6071579	Q4471572
Q4538305	Q3270639
Q4304835	Q2405323
Q663766	Q5815363
Q5782121	Q4761370
Q5550648	Q5904914
Q1287827	Q428779
Q2127898	Q3177649
Q5790763	Q2336392
Q5750023	Q3150362
Q3988351	Q86410
Q920294	Q4187725
