Q834218	Q128202
Q407191	Q1496755
Q42552	Q471463
Q1173538	Q62839
Q441256	Q1090356
Q1391893	Q675251
Q1519668	Q690203
Q279427	Q223406
Q1250792	Q702549
Q896521	Q1153137
Q1061935	Q695193
Q1316335	Q646345
Q118616	Q1009676
Q104510	Q423829
Q1205801	Q123060
Q178360	Q1092045
Q1147817	Q1305096
Q704356	Q1391968
Q282060	Q278599
Q161508	Q483127
Q282783	Q333289
Q130639	Q1187088
Q1031971	Q1531132
Q84883	Q1377540
Q837986	Q1158780
Q1471265	Q85959
Q1125695	Q858390
Q452042	Q1158175
Q846262	Q19595
Q531896	Q555810
Q984188	Q1216280
Q92107	Q770434
Q1231223	Q653253
Q690662	Q1492195
Q924279	Q1474257
Q181859	Q833488
Q478844	Q1524842
Q577028	Q1205964
Q858716	Q92503
Q890099	Q791124
Q160318	Q280889
Q975656	Q225943
Q865092	Q470646
Q856413	Q781128
Q219626	Q156606
Q971483	Q902654
Q1034084	Q1267492
Q270388	Q548622
Q96293	Q466103
Q643369	Q806392
Q172825	Q1069758
Q928638	Q1599421
Q431103	Q783463
Q953229	Q1535748
Q819314	Q167943
Q597896	Q122524
Q184601	Q260302
Q1123307	Q1189091
Q1173449	Q1028253
Q74481	Q1228287
Q912197	Q1526270
Q311332	Q1542584
Q1439419	Q946350
Q1387984	Q1516806
Q1089761	Q133594
Q1023002	Q209116
Q1334825	Q674889
Q136701	Q315197
Q1342237	Q893270
Q1328030	Q1580484
Q258016	Q559450
Q137126	Q316788
Q138277	Q284459
Q776811	Q722135
Q791034	Q82475
Q891206	Q1146502
Q981704	Q247277
Q730525	Q724757
Q919119	Q266293
Q103050	Q1490882
Q1482656	Q1151131
Q18332	Q31309
Q1422464	Q790404
Q963896	Q486063
Q425597	Q1483532
Q440169	Q62773
Q764966	Q115760
Q898918	Q1260095
Q744726	Q216486
Q387662	Q104423
Q664644	Q763882
Q1596204	Q276236
Q245366	Q1021598
Q1187480	Q6327
Q463540	Q1167505
Q215010	Q1052827
Q1030192	Q1149765
Q203610	Q1443554
Q785597	Q660865
Q76945	Q1574415
