Q441931	Q897517
Q2131063	Q94316
Q439518	Q2995142
Q1044026	Q3091156
Q1612981	Q2134247
Q2456218	Q1396010
Q539174	Q1964632
Q685513	Q2190338
Q47138	Q1786130
Q963270	Q549389
Q1247475	Q2543875
Q2278133	Q1897996
Q802726	Q1683252
Q2413893	Q1853204
Q1491925	Q996394
Q3161476	Q126751
Q2496224	Q1082684
Q2377593	Q2723154
Q999431	Q1753244
Q150323	Q943923
Q1673188	Q2159827
Q2511010	Q940401
Q2467028	Q2872516
Q362907	Q285367
Q2389488	Q670063
Q640002	Q2235357
Q2745239	Q1015060
Q591309	Q2499532
Q1601342	Q1219365
Q3089776	Q492935
Q2105796	Q2584674
Q431122	Q2267449
Q1835189	Q88325
Q3062198	Q1581473
Q213601	Q1096160
Q2547530	Q2206815
Q1388548	Q1571138
Q335692	Q3130579
Q592954	Q2892333
Q653564	Q900504
Q285177	Q1380563
Q2161956	Q757029
Q2932632	Q2343187
Q883218	Q3145264
Q2289155	Q719549
Q1623206	Q469993
Q2375909	Q2549172
Q2062735	Q2130685
Q2698065	Q2191872
Q1824317	Q656817
Q2445371	Q488280
Q2040126	Q2207071
Q355795	Q2411398
Q2860558	Q726462
Q2772652	Q1312346
Q2312309	Q101135
Q2326018	Q373856
Q3057679	Q2454048
Q191595	Q2371573
Q961261	Q1142451
Q1755175	Q2166833
Q2806908	Q521404
Q2481866	Q3040903
Q2759514	Q3007936
Q552162	Q2561487
Q99240	Q2658303
Q2438233	Q3041550
Q972983	Q168810
Q881313	Q2827576
Q984478	Q2928027
Q1603419	Q2535181
Q1976412	Q1085224
Q853100	Q2653680
Q286109	Q32461
Q1969012	Q2675314
Q2855587	Q2636865
Q388938	Q1739077
Q3059385	Q2316458
Q391796	Q2818380
Q2490660	Q2816996
Q967487	Q1955475
Q1929800	Q2235643
Q2921063	Q2167344
Q1558423	Q2334520
Q2866182	Q1373301
Q1126194	Q202099
Q2486920	Q2528447
Q1248701	Q627162
Q3124795	Q2676154
Q2146085	Q1502006
Q1530091	Q2506437
Q601321	Q2139082
Q141736	Q2232135
Q2139251	Q1347484
Q315179	Q771873
Q1822778	Q3041257
Q1602616	Q1294509
Q2763308	Q972753
Q2643556	Q2546346
Q1432117	Q2845944
